"","X_0001","X_0002","X_0003","X_0004","X_0005","X_0006","X_0011","X_0013","X_0014","X_0015","X_0016","X_0018","X_0019","X_0021","X_0022","X_0024","X_0026","X_0030","X_0031","X_0032","X_0033","X_0036","X_0037","X_0038","X_0039","X_0040","X_0044","X_0047","X_0048","X_0049","X_0050","X_0054","X_0067","X_0069","X_0075","X_0076","X_0083","X_0084","X_0086","X_0087","X_0089","X_0090","X_0098","X_0100","X_0102","X_0107","X_0109","X_0111","X_0117","X_0118","X_0128","X_0130","X_0141","X_0143","X_0147","X_0164","X_0166","X_0171","X_0173","X_0179","X_0181","X_0185","X_0191","X_0198","X_0222","X_0232","X_0241","X_0243","X_0252","X_0254","X_0275","X_0291","X_0309","X_0361","X_0399"
"S_04937",0,10737,19,0,652,0,128,0,0,0,0,0,0,0,109,1049,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,307,0,0,0,109,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,146,28,0,0,0,0,52,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05033",0,32094,0,0,2956,0,340,0,0,0,0,0,0,0,364,1290,0,0,0,0,0,0,0,0,762,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,94,0,0,0,0,0,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05129",114,9943,120,0,1031,0,615,0,0,0,0,0,0,0,855,1162,0,0,0,0,0,0,0,0,963,0,0,0,0,0,0,0,376,0,0,0,353,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,615,154,0,0,0,0,120,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05225",862,9781.5,78.5,0,1006,0,442.5,0,0,0,0,0,0,0,686,933,0,0,0,0,0,0,0,0,953,0,0,0,0,0,0,0,330,0,0,0,176.5,0,0,0,0,0,0,0,0,909.5,0,0,0,0,0,0,0,588,133,0,0,0,0,60,0,608.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05321",1610,9620,37,0,981,0,270,0,0,0,0,0,0,0,517,704,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,816,0,0,0,0,0,0,0,561,112,0,0,0,0,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05417",6138,13014,0,0,12033,0,279,0,0,0,0,0,0,0,108,459,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05513",6886,9078,0,0,11172,0,156,0,0,0,0,0,0,0,68,224,0,0,0,0,0,0,0,0,808,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05609",5599,6428,0,0,8231,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05705",9261,6928,0,0,9241,0,217,0,0,0,0,0,0,0,279,279,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_05801",22642,2782,0,0,12708,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
