"","X_0001","X_0002","X_0004","X_0007","X_0008","X_0009","X_0010","X_0012","X_0015","X_0017","X_0018","X_0026","X_0027","X_0029","X_0034","X_0039","X_0041","X_0043","X_0053","X_0057","X_0066","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0101","X_0112","X_0114","X_0119","X_0140","X_0160","X_0161","X_0188","X_0207","X_0210","X_0220","X_0289","X_0305","X_0318"
"S_08429",13746.5,2192,8504.5,3127,397,0,0,0,424.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08525",15690,1249,11867,4958,559,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08621",16121,3560,13176,3580,394,0,0,0,479,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,50,0,0,0,0,0,0,0
"S_08717",13194,947,9784,4068,346,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08813",10404,801,5372,1833,298,0,0,0,70,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_08909",8323,780,6429,2831,299,0,0,0,503,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
"S_09005",6899,1906,3489,956,130,0,0,0,111,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09101",6685,629,2820,1498,141,0,0,0,123,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"S_09197",5599,562,2891,1144,168,0,0,0,112,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09293",14314,459,11314,2701,641,0,0,0,153,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09389",6637,579,3372,2370,210,0,0,0,175,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09485",6887,597,6439,2442,290,0,0,0,215,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09581",8956,797,7994,3345,395,0,0,0,132,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09677",7902,1979,4694,843,121,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09773",6887,488,7356,2411,535,0,0,0,242,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09812",7874,561,6632,2653,267,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_09965",6741,142,48,1108,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10061",17753,772,7199,9857,1242,0,0,0,295,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10157",7729,447,2573,3265,327,0,0,0,114,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10253",8994,646,5140,3622,383,0,0,0,111,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10349",13898,1147,9943,5830,862,0,0,0,142,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10445",8794,674,7342,3652,461,0,0,0,259,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10541",12730,767,7464,3815,738,0,0,0,233,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_00078",5412,0,4795,94,3779,0,0,0,588,976,0,0,241,0,0,0,0,0,482,0,0,0,0,0,0,0,558,0,76,0,0,0,0,0,0,0,0,0,0,0,0
"S_00174",4688,0,4345,233,5439,0,0,0,419,1262,0,0,169,0,0,0,0,0,401,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00270",2288,0,4707,291,3235,0,0,0,410,771,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,82,0,0,0,0,0,37,0,0,0,0,0,0,0,0
"S_00366",5480,0,4784,261,5149,0,0,0,0,2079,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00462",2505,0,2068,191,1772,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_00558",1899,0,3602,599,3443,0,0,0,515,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
"S_00654",1771,0,2651,383,1605,0,0,0,466,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
"S_00750",2949,0,700,476,1034,0,0,0,73,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0
"S_00846",9745,0,2470,3841,4970,0,0,0,196,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0
"S_00942",3381,0,2067,1355,2330,0,0,0,222,1658,0,0,0,0,0,0,28,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
"S_01038",4947,0,1765,2461,1726,0,0,0,116,2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0
"S_01134",3780,0,1012,1356,441,0,0,0,60,2630,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
"S_01230",4557,0,3170,2875,1794,0,0,0,66,1867,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"S_01326",3369,0,1320,3597,740,0,0,0,28,2644,48,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,56,0,0,0,0,0,0,0
"S_01422",2535,0,2185,1991,512,0,0,0,0,2723,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
"S_01518",898,0,1190,259,245,0,0,0,0,4967,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01614",3768,0,3039,4995,829,0,0,0,116,4249,158,0,0,0,0,0,91,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,245,29,0,0,0,0,54,0,0
"S_01710",3397,0,1266,2899,1672,0,0,0,48,5301,188,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"S_01806",2441,0,5969,2049,1267,0,0,0,159,3150,99,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01902",2797,0,4543,3830,970,0,0,0,176,4295,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
"S_01998",2099,0,3297,3418,1332,0,0,0,161,6580,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02094",1771,0,1854,6243,1373,0,0,0,166,6099,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"S_02190",1610,0,15343,4244,911,0,0,0,212,2647,637,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02286",2600,0,12656,7346,1155,0,0,0,364,5737,600,0,0,0,0,0,73,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0
"S_02382",1567,0,3682,4675,939,0,0,0,64,6571,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0
"S_02478",1672,0,8690,8683,1486,0,0,0,194,5661,1149,0,0,0,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,66,0,0
"S_02574",1457,0,4871,3924,734,0,0,0,1315,4341,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02670",1813,0,5457,2011,651,0,0,0,140,4937,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
"S_02766",1318,0,2720,1597,389,0,0,0,45,5011,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,36,0,0
"S_02862",2064,0,4472,2860,1101,0,0,0,33,5368,1148,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,66,0,0
