"","X_0001","X_0002","X_0004","X_0005","X_0006","X_0007","X_0008","X_0009","X_0010","X_0011","X_0012","X_0013","X_0015","X_0017","X_0018","X_0019","X_0023","X_0025","X_0026","X_0031","X_0034","X_0036","X_0037","X_0040","X_0041","X_0043","X_0051","X_0064","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0099","X_0101","X_0117","X_0118","X_0119","X_0138","X_0150","X_0161","X_0171","X_0209","X_0226","X_0316","X_0365"
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_00046",0,0,0,0,0,0,0,0,8061,0,412,0,558,0,0,216,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,355,0,5480,0,0,304,0,0,0,0,0,0,0,0
"S_00142",0,0,0,0,0,0,203,0,10147,0,4003,0,641,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,76,0,239,0,0,300,0,158,0,0,0,0,0,0
"S_00238",0,0,0,0,0,0,802,0,7383,0,5335,0,1852,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,141,0,77,0,0,0,0,0,0
"S_00334",0,0,0,0,0,64,1065,0,10874,0,6400,0,4801,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,753,0,121,0,0,0,0,0,0
"S_00430",0,0,0,0,0,157,2208,0,1148,0,4347,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0
"S_00526",0,0,0,0,0,90,2180,0,3754,0,2928,0,3264,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,174,0,0,0,0,0,0,0,0
"S_00622",0,0,0,0,0,0,1774,0,2568,0,3462,0,2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0
"S_00718",0,0,0,0,0,180,1577,0,142,0,2281,0,1222,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0
"S_00814",0,0,0,0,0,442,3085,0,0,0,2792,0,3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0
"S_00910",0,0,0,0,0,261,2937,0,1640,0,3223,0,2881,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0
"S_01006",0,0,0,0,0,846,1995,0,129,0,2349,0,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,181,0,0,0,0,0,0,0,0
"S_01102",0,0,0,0,0,978,1642,0,148,0,2565,0,3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
"S_01198",0,0,0,0,0,4066,3992,0,1152,0,2304,0,13384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,143,0,0,0
