"sampleID","time","resource","inoculum","replicate.id","treat1","treat2","missing","timeChar"
"S_04139",44,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_044"
"S_04235",45,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_045"
"S_04331",46,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_046"
"S_04427",47,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_047"
"S_04523",48,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_048"
"S_04619",49,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_049"
"S_04715",50,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_050"
"S_04811",51,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_051"
"S_04907",52,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_052"
"S_05003",53,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_053"
"S_05099",54,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_054"
"S_05195",55,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_055"
"S_05291",56,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_056"
"S_05387",57,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_057"
"S_05483",58,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_058"
"S_05579",59,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_059"
"S_05675",60,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_060"
"S_05771",61,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_061"
"S_05867",62,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_062"
"S_05963",63,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_063"
"S_06059",64,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_064"
"S_06155",65,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_065"
"S_06251",66,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_066"
"S_06347",67,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_067"
"S_06443",68,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_068"
"S_06539",69,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_069"
"S_06635",70,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_070"
"S_06731",71,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_071"
"S_06827",72,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_072"
"S_06923",73,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_073"
"S_07019",74,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_074"
"S_07115",75,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_075"
"S_07211",76,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_076"
"S_07307",77,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_077"
"S_07403",78,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_078"
"S_07499",79,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_079"
"S_07595",80,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_080"
"S_07691",81,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_081"
"S_07787",82,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_082"
"S_07883",83,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_083"
"S_07979",84,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_084"
"S_08075",85,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_085"
"S_08171",86,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_086"
"S_08267",87,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_087"
"S_08363",88,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_088"
"S_08459",89,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_089"
"S_08555",90,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_090"
"S_08651",91,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_091"
"S_08747",92,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_092"
"S_08843",93,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_093"
"S_08939",94,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_094"
"S_09035",95,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_095"
"S_09131",96,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_096"
"S_09227",97,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_097"
"S_09323",98,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_098"
"S_09419",99,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_099"
"S_09515",100,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_100"
"S_09611",101,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_101"
"S_09707",102,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_102"
"S_09878",103,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_103"
"S_09899",104,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_104"
"S_09995",105,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_105"
